episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,seed,K_vocab
54,-103.9480631421388,-34.64935438071293,-34.149354380712936,-34.149354380712936,-35.64935438071292,50,0,0.0,1,4
55,-119.64857992781242,-39.88285997593747,-39.88285997593747,-39.88285997593747,-39.88285997593747,50,0,0.0,1,4
56,-201.7937901856201,-67.26459672854004,-67.59793006187338,-67.59793006187338,-66.59793006187338,50,0,0.0,1,4
57,-96.3325778740245,-32.1108592913415,-31.110859291341495,-32.6108592913415,-32.6108592913415,50,0,0.0,1,4
58,-117.0202627165047,-39.0067542388349,-37.673420905501565,-39.673420905501565,-39.673420905501565,50,0,0.0,1,4
59,-169.03963837346987,-56.346546124489954,-56.34654612448996,-56.34654612448996,-56.34654612448996,50,0,0.0,1,4
60,-108.69290956467344,-36.23096985489114,-36.23096985489114,-36.23096985489114,-36.23096985489114,50,0,0.0,1,4
61,-86.62892387925547,-28.876307959751824,-29.37630795975182,-27.87630795975182,-29.37630795975182,50,0,0.0,1,4
62,-86.48958663089675,-28.82986221029892,-27.82986221029892,-29.32986221029892,-29.32986221029892,50,0,0.0,1,4
63,-154.45381196337377,-51.48460398779125,-51.48460398779126,-51.48460398779126,-51.48460398779126,50,0,0.0,1,4
64,-165.86203666661007,-55.28734555553669,-55.28734555553669,-55.28734555553669,-55.28734555553669,50,0,0.0,1,4
65,-85.18867941998808,-28.39622647332936,-28.39622647332936,-28.39622647332936,-28.39622647332936,50,0,0.0,1,4
66,-167.03455163919594,-55.67818387973198,-54.67818387973198,-56.17818387973198,-56.17818387973198,50,0,0.0,1,4
67,-181.17227359299025,-60.39075786433008,-60.39075786433008,-60.39075786433008,-60.39075786433008,50,0,0.0,1,4
68,-146.9704341199411,-48.99014470664704,-49.49014470664703,-47.99014470664704,-49.49014470664703,50,0,0.0,1,4
69,-195.35750969481523,-65.11916989827175,-65.95250323160508,-65.95250323160508,-63.452503231605085,50,0,0.0,1,4
70,-145.75444776362485,-48.58481592120828,-48.58481592120828,-48.58481592120828,-48.58481592120828,50,0,0.0,1,4
71,-164.58669919690638,-54.86223306563546,-54.86223306563546,-54.86223306563546,-54.86223306563546,50,0,0.0,1,4
72,-169.31902113086318,-56.43967371028773,-56.43967371028773,-56.43967371028773,-56.43967371028773,50,0,0.0,1,4
73,-144.53560044363633,-48.178533481212106,-47.67853348121211,-49.17853348121211,-47.67853348121211,50,0,0.0,1,4
74,-187.06471089328707,-62.35490363109569,-62.35490363109569,-62.35490363109569,-62.35490363109569,50,0,0.0,1,4
75,-120.98463904431034,-40.328213014770114,-40.828213014770114,-40.828213014770114,-39.328213014770114,50,0,0.0,1,4
76,-151.78579948723728,-50.59526649574576,-50.76193316241243,-49.76193316241243,-51.26193316241243,50,0,0.0,1,4
77,-135.97089749356556,-45.32363249785519,-45.49029916452185,-45.49029916452185,-44.99029916452186,50,0,0.0,1,4
78,-223.8694812358804,-74.62316041196014,-74.7898270786268,-74.7898270786268,-74.2898270786268,50,0,0.0,1,4
79,-166.39613559698694,-55.46537853232898,-56.13204519899564,-54.13204519899564,-56.13204519899564,50,0,0.0,1,4
80,-70.73217194622222,-23.577390648740742,-23.577390648740742,-23.577390648740742,-23.577390648740742,50,0,0.0,1,4
81,-302.2694508638961,-100.7564836212987,-99.7564836212987,-101.2564836212987,-101.2564836212987,50,0,0.0,1,4
82,-117.52089449606636,-39.17363149868879,-38.50696483202211,-39.50696483202211,-39.50696483202211,50,0,0.0,1,4
83,-140.19833474700522,-46.73277824900174,-46.8994449156684,-46.8994449156684,-46.3994449156684,50,0,0.0,1,4
84,-63.41151420111829,-21.137171400372765,-21.137171400372765,-21.137171400372765,-21.137171400372765,50,0,0.0,1,4
85,-166.53881429734994,-55.512938099116646,-55.512938099116646,-55.512938099116646,-55.512938099116646,50,0,0.0,1,4
86,-252.2899571954188,-84.09665239847293,-84.09665239847293,-84.09665239847293,-84.09665239847293,50,0,0.0,1,4
87,-189.2015270195577,-63.06717567318589,-63.06717567318589,-63.06717567318589,-63.06717567318589,50,0,0.0,1,4
88,-101.1472878171623,-33.71576260572076,-33.882429272387434,-33.382429272387434,-33.882429272387434,50,0,0.0,1,4
89,-158.2269821197599,-52.742327373253296,-52.07566070658663,-53.07566070658663,-53.07566070658663,50,0,0.0,1,4
90,-86.2148797084539,-28.738293236151303,-28.7382932361513,-28.7382932361513,-28.7382932361513,50,0,0.0,1,4
91,-152.18166234115807,-50.72722078038603,-50.72722078038603,-50.72722078038603,-50.72722078038603,50,0,0.0,1,4
92,-109.84208019009743,-36.61402673003248,-36.61402673003248,-36.61402673003248,-36.61402673003248,50,0,0.0,1,4
93,-80.72190706556391,-26.90730235518797,-26.90730235518797,-26.90730235518797,-26.90730235518797,50,0,0.0,1,4
94,-131.92192781874255,-43.97397593958086,-43.97397593958085,-43.97397593958085,-43.97397593958085,50,0,0.0,1,4
95,-150.82931059045066,-50.27643686348355,-49.44310353015023,-49.94310353015023,-51.44310353015022,50,0,0.0,1,4
96,-169.43894569813358,-56.47964856604453,-56.47964856604453,-56.47964856604453,-56.47964856604453,50,0,0.0,1,4
97,-276.2622339838116,-92.0874113279372,-91.75407799460386,-92.25407799460386,-92.25407799460386,50,0,0.0,1,4
98,-135.19860490510166,-45.066201635033885,-45.23286830170055,-44.73286830170055,-45.23286830170055,50,0,0.0,1,4
99,-149.93203214540165,-49.97734404846722,-50.14401071513388,-49.64401071513388,-50.14401071513388,50,0,0.0,1,4
100,-110.40417225038296,-36.80139075012765,-36.80139075012765,-36.80139075012765,-36.80139075012765,50,0,0.0,1,4
101,-108.71482309568778,-36.23827436522926,-36.23827436522926,-36.23827436522926,-36.23827436522926,50,0,0.0,1,4
102,-164.53765150154177,-54.845883833847246,-54.84588383384725,-54.84588383384725,-54.84588383384725,50,0,0.0,1,4
103,-120.9128604840376,-40.304286828012536,-40.304286828012536,-40.304286828012536,-40.304286828012536,50,0,0.0,1,4
104,-192.5205543999331,-64.17351813331103,-64.17351813331103,-64.17351813331103,-64.17351813331103,50,0,0.0,1,4
105,-248.38701910671224,-82.79567303557074,-82.9623397022374,-82.4623397022374,-82.9623397022374,50,0,0.0,1,4
106,-134.8540588755257,-44.95135295850857,-44.95135295850857,-44.95135295850857,-44.95135295850857,50,0,0.0,1,4
107,-220.54521725576325,-73.51507241858775,-73.51507241858775,-73.51507241858775,-73.51507241858775,50,0,0.0,1,4
108,-147.32205237551088,-49.10735079183696,-49.10735079183696,-49.10735079183696,-49.10735079183696,50,0,0.0,1,4
109,-159.04654645179545,-53.01551548393181,-53.682182150598486,-53.682182150598486,-51.68218215059849,50,0,0.0,1,4
110,-139.04992231670406,-46.349974105568016,-46.34997410556802,-46.34997410556802,-46.34997410556802,50,0,0.0,1,4
111,-113.9388157851502,-37.979605261716735,-37.979605261716735,-37.979605261716735,-37.979605261716735,50,0,0.0,1,4
112,-146.81123614294478,-48.93707871431493,-48.93707871431492,-48.93707871431492,-48.93707871431492,50,0,0.0,1,4
113,-165.76439077184392,-55.25479692394797,-54.25479692394799,-55.75479692394798,-55.75479692394798,50,0,0.0,1,4
114,-120.07455654491912,-40.02485218163971,-40.52485218163971,-40.52485218163971,-39.02485218163971,50,0,0.0,1,4
115,-130.96628016130492,-43.655426720434974,-43.655426720434974,-43.655426720434974,-43.655426720434974,50,0,0.0,1,4
116,-95.46617645611414,-31.822058818704715,-31.48872548537138,-31.98872548537138,-31.98872548537138,50,0,0.0,1,4
117,-212.2679540949553,-70.75598469831844,-70.75598469831844,-70.75598469831844,-70.75598469831844,50,0,0.0,1,4
118,-173.34656768141036,-57.78218922713679,-57.448855893803454,-57.948855893803454,-57.948855893803454,50,0,0.0,1,4
119,-144.17787173675737,-48.059290578919125,-48.05929057891912,-48.05929057891912,-48.05929057891912,50,0,0.0,1,4
120,-105.77293086712017,-35.25764362237339,-35.25764362237339,-35.25764362237339,-35.25764362237339,50,0,0.0,1,4
121,-180.48148774698177,-60.16049591566059,-60.16049591566059,-60.16049591566059,-60.16049591566059,50,0,0.0,1,4
122,-219.6764139534361,-73.22547131781204,-73.22547131781204,-73.22547131781204,-73.22547131781204,50,0,0.0,1,4
123,-257.5581538744532,-85.85271795815106,-86.35271795815106,-86.35271795815106,-84.85271795815106,50,0,0.0,1,4
124,-108.3550344773839,-36.11834482579463,-36.11834482579463,-36.11834482579463,-36.11834482579463,50,0,0.0,1,4
125,-241.45479483002083,-80.48493161000694,-80.65159827667361,-80.65159827667361,-80.15159827667362,50,0,0.0,1,4
126,-273.7243256864597,-91.24144189548656,-90.07477522881987,-91.57477522881987,-92.07477522881987,50,0,0.0,1,4
127,-150.67108810215726,-50.223696034052416,-49.723696034052416,-51.223696034052416,-49.723696034052416,50,0,0.0,1,4
128,-177.97437323619377,-59.32479107873126,-58.65812441206459,-59.65812441206459,-59.65812441206459,50,0,0.0,1,4
129,-158.5822485869644,-52.86074952898813,-52.86074952898813,-52.86074952898813,-52.86074952898813,50,0,0.0,1,4
130,-86.89316987846456,-28.964389959488187,-28.964389959488187,-28.964389959488187,-28.964389959488187,50,0,0.0,1,4
131,-119.40802343122444,-39.80267447707482,-39.80267447707482,-39.80267447707482,-39.80267447707482,50,0,0.0,1,4
132,-107.55847534907454,-35.85282511635818,-35.85282511635818,-35.85282511635818,-35.85282511635818,50,0,0.0,1,4
133,-141.097418685498,-47.032472895166,-46.032472895166,-47.532472895166,-47.532472895166,50,0,0.0,1,4
134,-128.87835909102557,-42.959453030341855,-42.95945303034186,-42.95945303034186,-42.95945303034186,50,0,0.0,1,4
135,-205.5077166110401,-68.50257220368003,-68.50257220368003,-68.50257220368003,-68.50257220368003,50,0,0.0,1,4
136,-132.49180252923162,-44.16393417641054,-44.163934176410535,-44.163934176410535,-44.163934176410535,50,0,0.0,1,4
137,-251.0347756397968,-83.67825854659894,-84.51159187993227,-84.51159187993227,-82.01159187993228,50,0,0.0,1,4
138,-156.99339095638155,-52.33113031879386,-52.33113031879386,-52.33113031879386,-52.33113031879386,50,0,0.0,1,4
139,-215.32539653789308,-71.7751321792977,-71.94179884596436,-71.44179884596436,-71.94179884596436,50,0,0.0,1,4
140,-138.91397983887828,-46.30465994629276,-46.30465994629276,-46.30465994629276,-46.30465994629276,50,0,0.0,1,4
141,-129.9654020429451,-43.3218006809817,-42.98846734764837,-43.48846734764837,-43.48846734764837,50,0,0.0,1,4
142,-188.32226598823507,-62.77408866274502,-62.77408866274503,-62.77408866274503,-62.77408866274503,50,0,0.0,1,4
143,-202.3855100275742,-67.46183667585807,-67.12850334252474,-67.62850334252474,-67.62850334252474,50,0,0.0,1,4
144,-244.0864316954843,-81.36214389849476,-81.86214389849476,-81.86214389849476,-80.36214389849476,50,0,0.0,1,4
145,-182.0304381861115,-60.67681272870383,-60.67681272870384,-60.67681272870384,-60.67681272870384,50,0,0.0,1,4
146,-183.9252555875221,-61.30841852917404,-61.30841852917404,-61.30841852917404,-61.30841852917404,50,0,0.0,1,4
147,-95.29272295853472,-31.76424098617824,-32.26424098617824,-32.26424098617824,-30.764240986178237,50,0,0.0,1,4
148,-168.12403353965783,-56.04134451321928,-56.04134451321927,-56.04134451321927,-56.04134451321927,50,0,0.0,1,4
149,-127.7221952720437,-42.57406509068124,-42.57406509068124,-42.57406509068124,-42.57406509068124,50,0,0.0,1,4
150,-207.35194363750915,-69.11731454583638,-69.28398121250305,-68.78398121250305,-69.28398121250305,50,0,0.0,1,4
151,-163.27608953787274,-54.42536317929091,-54.42536317929091,-54.42536317929091,-54.42536317929091,50,0,0.0,1,4
152,-184.450343371478,-61.483447790492654,-61.48344779049266,-61.48344779049266,-61.48344779049266,50,0,0.0,1,4
153,-116.92112268873446,-38.973707562911486,-38.973707562911486,-38.973707562911486,-38.973707562911486,50,0,0.0,1,4
154,-113.14780812852192,-37.71593604284064,-37.54926937617397,-37.54926937617397,-38.04926937617397,50,0,0.0,1,4
155,-276.6146982149323,-92.20489940497744,-92.3715660716441,-92.3715660716441,-91.8715660716441,50,0,0.0,1,4
156,-176.8196047686196,-58.93986825620653,-59.1065349228732,-58.6065349228732,-59.1065349228732,50,0,0.0,1,4
157,-227.80185080632285,-75.93395026877428,-75.93395026877428,-75.93395026877428,-75.93395026877428,50,0,0.0,1,4
158,-139.44291685017615,-46.48097228339205,-46.48097228339205,-46.48097228339205,-46.48097228339205,50,0,0.0,1,4
159,-75.44236842799577,-25.14745614266526,-25.14745614266526,-25.14745614266526,-25.14745614266526,50,0,0.0,1,4
160,-168.49601921378758,-56.1653397379292,-56.16533973792919,-56.16533973792919,-56.16533973792919,50,0,0.0,1,4
161,-111.29336768929502,-37.097789229765006,-37.097789229765006,-37.097789229765006,-37.097789229765006,50,0,0.0,1,4
162,-102.8405926268872,-34.28019754229573,-34.28019754229573,-34.28019754229573,-34.28019754229573,50,0,0.0,1,4
163,-85.17202181789361,-28.39067393929787,-28.724007272631205,-28.724007272631205,-27.724007272631205,50,0,0.0,1,4
164,-138.7272288020582,-46.24240960068607,-46.24240960068607,-46.24240960068607,-46.24240960068607,50,0,0.0,1,4
165,-150.98280795049345,-50.327602650164486,-50.49426931683116,-50.49426931683116,-49.99426931683115,50,0,0.0,1,4
166,-81.92054957118418,-27.306849857061398,-26.306849857061398,-27.806849857061398,-27.806849857061398,50,0,0.0,1,4
167,-165.2313732583204,-55.07712441944013,-55.07712441944013,-55.07712441944013,-55.07712441944013,50,0,0.0,1,4
168,-256.63209320628795,-85.54403106876265,-85.37736440209598,-85.87736440209598,-85.37736440209598,50,0,0.0,1,4
169,-230.30816766450707,-76.76938922150235,-77.43605588816902,-75.93605588816901,-76.93605588816902,50,0,0.0,1,4
170,-57.486597836617456,-19.162199278872485,-19.162199278872485,-19.162199278872485,-19.162199278872485,50,0,0.0,1,4
171,-107.26632683750712,-35.75544227916904,-35.4221089458357,-35.9221089458357,-35.9221089458357,50,0,0.0,1,4
172,-272.9428490187632,-90.98094967292106,-91.48094967292106,-91.48094967292106,-89.98094967292106,50,0,0.0,1,4
173,-137.38490843475026,-45.79496947825009,-45.79496947825009,-45.79496947825009,-45.79496947825009,50,0,0.0,1,4
174,-118.75943198313912,-39.58647732771304,-39.58647732771304,-39.58647732771304,-39.58647732771304,50,0,0.0,1,4
175,-198.54144886291616,-66.18048295430539,-66.18048295430539,-66.18048295430539,-66.18048295430539,50,0,0.0,1,4
176,-187.3170509208486,-62.4390169736162,-62.4390169736162,-62.4390169736162,-62.4390169736162,50,0,0.0,1,4
177,-223.40534018448523,-74.46844672816175,-74.46844672816175,-74.46844672816175,-74.46844672816175,50,0,0.0,1,4
178,-251.64482044823188,-83.8816068160773,-83.8816068160773,-83.8816068160773,-83.8816068160773,50,0,0.0,1,4
179,-152.81343162957015,-50.93781054319005,-50.93781054319005,-50.93781054319005,-50.93781054319005,50,0,0.0,1,4
180,-150.8921479588049,-50.29738265293497,-50.96404931960164,-50.46404931960164,-49.46404931960164,50,0,0.0,1,4
181,-126.69840889507212,-42.23280296502404,-42.23280296502404,-42.23280296502404,-42.23280296502404,50,0,0.0,1,4
182,-178.0541594990214,-59.3513864996738,-59.35138649967381,-59.35138649967381,-59.35138649967381,50,0,0.0,1,4
183,-123.7484303673612,-41.2494767891204,-41.2494767891204,-41.2494767891204,-41.2494767891204,50,0,0.0,1,4
184,-123.26539436116946,-41.08846478705649,-41.08846478705649,-41.08846478705649,-41.08846478705649,50,0,0.0,1,4
185,-118.15112329881896,-39.38370776627298,-39.38370776627298,-39.38370776627298,-39.38370776627298,50,0,0.0,1,4
186,-127.80729718429916,-42.60243239476639,-43.26909906143305,-43.26909906143305,-41.26909906143305,50,0,0.0,1,4
187,-131.9834746194253,-43.99449153980843,-42.327824873141765,-44.827824873141765,-44.827824873141765,50,0,0.0,1,4
188,-149.85412727697337,-49.95137575899113,-49.95137575899113,-49.95137575899113,-49.95137575899113,50,0,0.0,1,4
189,-144.01094062945796,-48.00364687648599,-47.00364687648599,-48.50364687648599,-48.50364687648599,50,0,0.0,1,4
190,-72.20231319339555,-24.06743773113185,-24.067437731131854,-24.067437731131854,-24.067437731131854,50,0,0.0,1,4
191,-192.44802478650044,-64.14934159550015,-64.14934159550015,-64.14934159550015,-64.14934159550015,50,0,0.0,1,4
192,-216.1404107826001,-72.04680359420003,-72.38013692753337,-72.38013692753337,-71.38013692753336,50,0,0.0,1,4
193,-217.87312486045377,-72.62437495348459,-72.62437495348459,-72.62437495348459,-72.62437495348459,50,0,0.0,1,4
194,-181.22538587362445,-60.40846195787481,-60.40846195787481,-60.40846195787481,-60.40846195787481,50,0,0.0,1,4
195,-174.46629215931807,-58.15543071977269,-58.15543071977269,-58.15543071977269,-58.15543071977269,50,0,0.0,1,4
196,-287.45073982602406,-95.81691327534136,-95.81691327534136,-95.81691327534136,-95.81691327534136,50,0,0.0,1,4
197,-230.2627390266169,-76.75424634220565,-76.92091300887232,-76.42091300887232,-76.92091300887232,50,0,0.0,1,4
198,-140.43244846891767,-46.81081615630589,-46.81081615630589,-46.81081615630589,-46.81081615630589,50,0,0.0,1,4
199,-82.50106528567389,-27.50035509522463,-28.1670217618913,-26.1670217618913,-28.1670217618913,50,0,0.0,1,4
200,-118.00461036860148,-39.33487012286716,-39.83487012286716,-38.33487012286716,-39.83487012286716,50,0,0.0,1,4
201,-245.01564053712684,-81.67188017904228,-82.00521351237562,-81.50521351237562,-81.50521351237562,50,0,0.0,1,4
202,-109.47516157354386,-36.49172052451462,-36.49172052451462,-36.49172052451462,-36.49172052451462,50,0,0.0,1,4
203,-137.7042410803428,-45.9014136934476,-45.9014136934476,-45.9014136934476,-45.9014136934476,50,0,0.0,1,4
204,-233.34935529716464,-77.7831184323882,-76.94978509905488,-78.44978509905488,-77.94978509905488,50,0,0.0,1,4
205,-206.6197170638914,-68.87323902129714,-69.53990568796381,-69.53990568796381,-67.53990568796381,50,0,0.0,1,4
206,-141.97916365447605,-47.32638788482535,-46.993054551492015,-47.493054551492015,-47.493054551492015,50,0,0.0,1,4
207,-156.1818966604771,-52.06063222015903,-52.2272988868257,-51.7272988868257,-52.2272988868257,50,0,0.0,1,4
208,-229.7802094184929,-76.59340313949764,-77.09340313949764,-75.59340313949764,-77.09340313949764,50,0,0.0,1,4
209,-96.9092652113033,-32.30308840376777,-32.30308840376777,-32.30308840376777,-32.30308840376777,50,0,0.0,1,4
210,-142.0298752252665,-47.3432917417555,-47.34329174175549,-47.34329174175549,-47.34329174175549,50,0,0.0,1,4
211,-185.78597368302763,-61.92865789434254,-61.92865789434255,-61.92865789434255,-61.92865789434255,50,0,0.0,1,4
212,-201.0899182099044,-67.0299727366348,-67.0299727366348,-67.0299727366348,-67.0299727366348,50,0,0.0,1,4
213,-300.0319403527556,-100.01064678425188,-100.01064678425188,-100.01064678425188,-100.01064678425188,50,0,0.0,1,4
214,-180.2057697154491,-60.0685899051497,-60.06858990514969,-60.06858990514969,-60.06858990514969,50,0,0.0,1,4
215,-205.18057136832488,-68.39352378944163,-68.72685712277496,-67.72685712277497,-68.72685712277496,50,0,0.0,1,4
216,-147.67317308514578,-49.22439102838192,-50.22439102838193,-50.22439102838193,-47.22439102838192,50,0,0.0,1,4
217,-91.87044522727348,-30.62348174242449,-30.956815075757824,-30.956815075757824,-29.956815075757824,50,0,0.0,1,4
218,-153.88398409170307,-51.29466136390102,-51.29466136390102,-51.29466136390102,-51.29466136390102,50,0,0.0,1,4
219,-126.96564411025582,-42.32188137008527,-42.32188137008527,-42.32188137008527,-42.32188137008527,50,0,0.0,1,4
220,-88.20912273758105,-29.40304091252702,-29.40304091252702,-29.40304091252702,-29.40304091252702,50,0,0.0,1,4
221,-198.78907829681475,-66.26302609893825,-66.26302609893825,-66.26302609893825,-66.26302609893825,50,0,0.0,1,4
222,-155.88263073819374,-51.96087691273125,-51.62754357939792,-52.12754357939792,-52.12754357939792,50,0,0.0,1,4
223,-177.61214737487558,-59.20404912495852,-59.20404912495852,-59.20404912495852,-59.20404912495852,50,0,0.0,1,4
224,-167.18418797307066,-55.728062657690224,-55.72806265769022,-55.72806265769022,-55.72806265769022,50,0,0.0,1,4
225,-93.115283724319,-31.03842790810633,-31.53842790810633,-31.53842790810633,-30.03842790810633,50,0,0.0,1,4
226,-169.81338119158931,-56.60446039719644,-56.60446039719643,-56.60446039719643,-56.60446039719643,50,0,0.0,1,4
227,-179.9716535616118,-59.99055118720393,-60.490551187203934,-58.990551187203934,-60.490551187203934,50,0,0.0,1,4
228,-143.61115444394957,-47.87038481464986,-47.87038481464986,-47.87038481464986,-47.87038481464986,50,0,0.0,1,4
229,-143.7571278438429,-47.91904261461431,-47.91904261461431,-47.91904261461431,-47.91904261461431,50,0,0.0,1,4
230,-106.60697401880904,-35.53565800626968,-35.53565800626968,-35.53565800626968,-35.53565800626968,50,0,0.0,1,4
231,-94.57259904096756,-31.52419968032252,-31.190866346989186,-31.690866346989186,-31.690866346989186,50,0,0.0,1,4
232,-160.6401078078556,-53.54670260261853,-53.7133692692852,-53.7133692692852,-53.2133692692852,50,0,0.0,1,4
233,-131.2536374750081,-43.75121249166937,-44.25121249166937,-42.75121249166937,-44.25121249166937,50,0,0.0,1,4
234,-143.41812435696232,-47.80604145232078,-47.80604145232077,-47.80604145232077,-47.80604145232077,50,0,0.0,1,4
