metric,label,mean_first_100,mean_last_100,delta_last_minus_first
return_mean,Mean reward,-49.40534627733508,-48.172402494038515,1.2329437832965624
return_sum,Team reward,-148.21603883200524,-144.51720748211554,3.6988313498897014
reward_a0,Agent0 reward,-49.40867961066841,-48.157402494038514,1.2512771166298933
reward_a1,Agent1 reward,-49.403679610668405,-48.19240249403852,1.211277116629887
reward_a2,Agent2 reward,-49.403679610668405,-48.16740249403851,1.2362771166298927
